pattern,seed,window_or_block_params,mean_cells_per_row,final_train_loss,final_val_loss,steps
dense,0,causal,128.5,1.5398433208465576,1.735115234851837,5000
dense,1,causal,128.5,1.5568673610687256,1.7364112043380737,5000
dense,2,causal,128.5,1.5838218927383423,1.8005012702941894,5000
sliding_window,0,window_size=76,64.8671875,1.5433160066604614,1.730193200111389,5000
sliding_window,1,window_size=76,64.8671875,1.5341601371765137,1.731958668231964,5000
sliding_window,2,window_size=76,64.8671875,1.579831838607788,1.802160964012146,5000
block_sparse,0,"block_size=16,global=1,random=2",65.5,1.5277318954467773,1.7151087403297425,5000
block_sparse,1,"block_size=16,global=1,random=2",63.5,1.5206326246261597,1.7111516189575195,5000
block_sparse,2,"block_size=16,global=1,random=2",66.5,1.5629310607910156,1.789751160144806,5000
